Record_type,Cluster_number,Size,Match_orientation,NU,NU,NU,NU,ASV_ID,OUT97_ID
H,134,53,98.1,+,0,0,53M8I,1296aeb9e94ef2e4fda2d1d64a1aa236,11b243d61793800b6f802e876a8f2047
S,140,125,*,*,*,*,*,12be76d542db6f354ac927be0547d280,*
S,141,56,*,*,*,*,*,12c28b2dd9d09e1d261b601c47607ac5,*
S,142,125,*,*,*,*,*,12c3e43a0dff25a9aab07845e27cf180,*
S,143,125,*,*,*,*,*,12e9e5de80fe8cae4db64ff832e1f653,*
S,144,32,*,*,*,*,*,12f04362ef4c10c2cec9f206c4be8d7f,*
S,145,125,*,*,*,*,*,133d89910d633f1c74f25df23625c868,*
S,146,125,*,*,*,*,*,13592b88a02c746627b194631aa3f944,*
S,147,125,*,*,*,*,*,135d6045890456f51442e7be9021589d,*
S,148,126,*,*,*,*,*,137ee5fe71420615705e5d533327b574,*
S,149,125,*,*,*,*,*,13867a85875bfb84645534b2b580feb6,*
S,150,125,*,*,*,*,*,13952e36cc5e8d0fbae0d8097cdd3c73,*
S,151,125,*,*,*,*,*,13a081635b691e052eba13037053f2b8,*
S,152,125,*,*,*,*,*,13a221882599211128cd2e854e2a8568,*
S,153,50,*,*,*,*,*,13c10adcda1a283a70306f0ab2fb6ad4,*
S,154,55,*,*,*,*,*,13e65a25d0a8d14f5cc13f12b3f972b4,*
S,155,38,*,*,*,*,*,148cc6cdd2feb4093b3a758d97def8f4,*
S,156,125,*,*,*,*,*,14b745ddace9b794630715f826d0ce60,*
S,157,125,*,*,*,*,*,14d11624c0aefe5cd14bcfe56f8519af,*
H,134,71,98.4,+,0,0,61M10D,14dbddb69c778d8bae3382dfa364d41f,11b243d61793800b6f802e876a8f2047
S,158,125,*,*,*,*,*,14e57fd00d358b6af2c894615e2ac156,*
S,159,32,*,*,*,*,*,14e730668e1b7ea24213bd059fbd8bf8,*
S,160,125,*,*,*,*,*,14e8297575f36674dc42ba6dde75fc33,*
S,161,125,*,*,*,*,*,14f114d5cdb914725fba1a30871eebb3,*
S,162,52,*,*,*,*,*,15175c594553539e773e8e70e514a2f9,*
H,149,56,100,+,0,0,24D32M93I,1534def6ddadfb42fe866ecb899f0b12,13867a85875bfb84645534b2b580feb6
S,163,125,*,*,*,*,*,153e27a62670b06cd0d6f24964177702,*
S,164,125,*,*,*,*,*,159493c9c12bd7cd98f8b9487b2e6fc2,*
S,165,125,*,*,*,*,*,159baeb30eedc122c2cd7cf70a3bf659,*
S,166,125,*,*,*,*,*,15aa6a1101770f9cae5561957c453bb5,*
H,94,53,98.1,+,0,0,53M29I,15b3036903ca9c58f0411861406142b0,0bc2155d719e35e422f97bba9927ef4c
S,167,125,*,*,*,*,*,15e40f6a8f42e1eb874c8ca17e57143c,*
H,5,125,97.6,+,0,0,125M,1618dc31a4ea780a7c388ca2ce29d40f,00804b6e5f04de12bea9e3b686b4201a
S,168,125,*,*,*,*,*,161bf1d7d6881f43198963a9ded13008,*
S,169,93,*,*,*,*,*,167ed879737e12d9eb11b1f22e9b4e03,*
S,170,56,*,*,*,*,*,16d810afcfad3ccda77fd5264adbc9f0,*
H,140,125,100,+,0,0,D124MI,16feaf245bebcaa5f09b6b19f42e99a2,12be76d542db6f354ac927be0547d280
S,171,107,*,*,*,*,*,170b5c88309663427ff0352faed9e2c8,*
H,1,94,98.9,+,0,0,94M31I,171eee39b320beb96deef28db4ed47ff,0020616a11d9c7f0d5e2acf0198d4265
H,127,125,100,+,0,0,25I29M96D,17751cad44b8b2f7e5e20d11962f5b43,1120b3eb84459f1d3dd4274fb03b4b69
S,172,125,*,*,*,*,*,177ac915e909011bc4d09744fbe05aec,*
H,71,82,100,+,0,0,18D64M61I,17a01f5fdbe64e4768ac2372fc83117c,08fa7c9053630246a245e00f48d29138
S,173,125,*,*,*,*,*,17f12a45ea1f5fd9899625372fb973e1,*
S,174,49,*,*,*,*,*,18231222cec0a0ab776b5c5d12dc9c52,*
S,175,125,*,*,*,*,*,185dc54da056fad3e14255f31b23a233,*
H,100,125,99.2,+,0,0,D124MI,186d631970cb6944925784772a420692,0c54f5bd4575b376044dd4006f22af9a
H,132,125,97.6,+,0,0,125M,188b00415dc8e1bf5aee4ed2ee90ad84,1187f391856015cafaefb7f613b12461
S,176,37,*,*,*,*,*,188e9143ca46b420649e0ba3bfd85661,*
S,177,125,*,*,*,*,*,18a5ae8e443f5393980c4462a07e6dba,*
S,178,125,*,*,*,*,*,18d64080180501073ac76e42d5135c21,*
S,179,125,*,*,*,*,*,18efc2aa74c0c12e28b10985b36f7da0,*
S,180,125,*,*,*,*,*,1906d7468b80dd3142d0b845d1f0781d,*
S,181,125,*,*,*,*,*,191f068a2df05b3cb22383c1a18f3c35,*
S,182,125,*,*,*,*,*,19291bf87b29d82fa2f05afa35b717b2,*
S,183,124,*,*,*,*,*,192dd96c40c19a0b8bb09102df310e0e,*
S,184,125,*,*,*,*,*,193f8bb081a41da7889592dfc4ec4682,*
S,185,92,*,*,*,*,*,198f1d8f33d1d6e5a97a7408a70560f2,*
S,186,125,*,*,*,*,*,19bb56e81b155180b13c520d99831f4b,*
H,154,52,98.1,+,0,0,52M3I,1a094dc2bc61bfe0d0a518e34271708f,13e65a25d0a8d14f5cc13f12b3f972b4
S,187,64,*,*,*,*,*,1a106c443e064990d009a7e99ea96d2a,*
S,188,39,*,*,*,*,*,1a27d003cffdd607810d6fe4fb380957,*
S,189,125,*,*,*,*,*,1a63a6c3810b237f9b7dc135a674bdf8,*
S,190,65,*,*,*,*,*,1a7f5b3bd2c5bba19bd47d8c70172b5a,*
S,191,125,*,*,*,*,*,1a9531eb43f436cf1de9405333905783,*
H,131,54,100,+,0,0,49M5D,1ac1ab750762cc058c6fb6991fea7cfa,11623cca36848e23b3b061f2afcb86f8
H,61,115,100,+,0,0,32M83D,1b1a7cec0cb480b18215f963b480a4c4,0739a908ed999a75e434a962b4c1b4a2
S,192,53,*,*,*,*,*,1b44561d4f01534052f5a4ab8db47e19,*
S,193,53,*,*,*,*,*,1bd6fdf901c28cab1cafacbc73206e69,*
S,194,125,*,*,*,*,*,1bf804265774a7fb27de27f2ca3d9b7a,*
S,195,125,*,*,*,*,*,1c2f493f099052d4295bc692d93ecb69,*
S,196,125,*,*,*,*,*,1c426c93c0ba3850dcd0ff37877cb708,*
S,197,125,*,*,*,*,*,1c884a105b44bec90cb08a03d47c063f,*
H,186,125,99.2,+,0,0,125M,1c888efeea2c9a36399bb2794af36bf1,19bb56e81b155180b13c520d99831f4b
